HEI name,Type,Region,Funding,URL,Comment
GISMA Business School,Fachhochschule,Brandenburg,Privat,www.gisma.com,x
HSD Hochschule Döpfer,Fachhochschule,Brandenburg,Privat,www.hs-doepfer.de,x
Universität Potsdam,Universitäten,Brandenburg,Land,www.uni-potsdam.de,x
University of Europe for Applied Sciences,Fachhochschule,Brandenburg,Privat,www.ue-germany.com,x
XU Exponential University of Applied Sciences,Fachhochschule,Brandenburg,Privat,xu-university.com,x
Hochschule Ravensburg-Weingarten,Fachhochschule,Baden-Württemberg,Land,www.rwu.de,x
Hochschule für Katholische Kirchenmusik und Musikpädagogik,Kunsthochschulen,Bayern,Kirchlich,www.hfkm-regensburg.de,x
Ostbayerische Technische Hochschule Regensburg,Fachhochschule,Bayern,Land,www.oth-regensburg.de,x
Universität Regensburg,Universitäten,Bayern,Land,www.uni-regensburg.de,x
"Hochschule Reutlingen, Hochschule für Technik-  Wirtschaft-Informatik-Design",Fachhochschule,Baden-Württemberg,Land,www.reutlingen-university.de,x
Theologische Hochschule Reutlingen - staatlich anerkannte Fachhochschule der Evangelisch-methodistischen Kirche,Fachhochschule,Baden-Württemberg,Kirchlich,www.th-reutlingen.de,x
Hochschule für Finanzen Rheinland-Pfalz,Verwaltungsfachhochschulen,Rheinland-Pfalz,Land,landesfinanzschule-edenkoben.fin-rlp.de,x
Hochschule der Polizei Rheinland-Pfalz,Verwaltungsfachhochschulen,Rheinland-Pfalz,Land,www.polizei.rlp.de,-
Hochschule für öffentliche Verwaltung Rheinland-Pfalz,Verwaltungsfachhochschulen,Rheinland-Pfalz,Land,hoev-rlp.de,x
Hochschule RheinMain,Fachhochschule,Hessen,Land,www.hs-rm.de,x
Hochschule Rhein-Waal - University of Applied Sciences,Fachhochschule,Nordrhein-Westfalen,Land,www.hochschule-rhein-waal.de,x
SRH Fernhochschule - The Mobile University,Fachhochschule,Baden-Württemberg,Privat,www.mobile-university.de,x
Technische Hochschule Rosenheim,Fachhochschule,Bayern,Land,www.th-rosenheim.de,x
Hochschule für Musik und Theater Rostock,Kunsthochschulen,Mecklenburg-Vorpommern,Land,www.hmt-rostock.de,x
Universität Rostock,Universitäten,Mecklenburg-Vorpommern,Land,www.uni-rostock.de,x
Hochschule für Forstwirtschaft Rottenburg,Fachhochschule,Baden-Württemberg,Land,www.hs-rottenburg.net,x
Hochschule für Kirchenmusik der Diözese Rottenburg-Stuttgart,Kunsthochschulen,Baden-Württemberg,Kirchlich,www.kirchenmusik-hochschule.org,-
Hochschule Ruhr West- University of Applied Sciences,Fachhochschule,Nordrhein-Westfalen,Land,www.hochschule-ruhr-west.de,x
Deutsche Hochschule für Prävention und Gesundheitsmanagement GmbH,Fachhochschule,Saarland,Privat,www.dhfpg.de,x
Hochschule für Musik Saar,Kunsthochschulen,Saarland,Land,www.hfm.saarland.de,x
Hochschule für Technik und Wirtschaft des Saarlandes,Fachhochschule,Saarland,Land,www.htwsaar.de,x
Universität des Saarlandes,Universitäten,Saarland,Land,www.uni-saarland.de,x
Hochschule der Bildenden Künste Saar,Kunsthochschulen,Saarland,Land,www.hbksaar.de,x
Fachhochschule der Verwaltung des Saarlandes,Verwaltungsfachhochschulen,Saarland,Land,www.saarland.de,-
Fachhochschule Polizei Sachsen-Anhalt,Verwaltungsfachhochschulen,Sachsen-Anhalt,Land,fh-polizei.sachsen-anhalt.de,x
Hochschule der Sächsischen Polizei (FH),Verwaltungsfachhochschulen,Sachsen,Land,www.polizei.sachsen.de,-
"Hochschule für öffentliche Verwaltung und Rechtspflege (FH), Fortbildungszentrum des Freistaates Sachsen",Verwaltungsfachhochschulen,Sachsen,Land,www.hsf.sachsen.de,x
Duale Hochschule Schleswig-Holstein - staatlich anerkannte Hochschule für angewandte Wissenschaften in Trägerschaft der Wirtschaftsakademie Schleswig-Holstein,Fachhochschule,Schleswig-Holstein,Privat,www.dhsh.de,x
Fachhochschule für Verwaltung und Dienstleistung in Schleswig-Holstein,Verwaltungsfachhochschulen,Schleswig-Holstein,Land,www.fhvd-sh.de,x
Hochschule Schmalkalden,Fachhochschule,Thüringen,Land,www.hs-schmalkalden.de,x
Hochschule für Gestaltung Schwäbisch Gmünd,Fachhochschule,Baden-Württemberg,Land,www.hfg-gmuend.de,x
Pädagogische Hochschule Schwäbisch Gmünd,Universitäten,Baden-Württemberg,Land,www.ph-gmuend.de,x
Universität Siegen,Universitäten,Nordrhein-Westfalen,Land,www.uni-siegen.de,x
Deutsche Universität für Verwaltungswissenschaften Speyer,Universitäten,Rheinland-Pfalz,Land,www.uni-speyer.de,x
Hochschule Stralsund,Fachhochschule,Mecklenburg-Vorpommern,Land,www.hochschule-stralsund.de,x
AKAD Hochschule Stuttgart - staatlich anerkannt,Fachhochschule,Baden-Württemberg,Privat,www.akad.de,x
Staatliche Akademie der Bildenden Künste Stuttgart,Kunsthochschulen,Baden-Württemberg,Land,www.abk-stuttgart.de,x
Duale Hochschule Baden-Württemberg,Hochschulen eigenen Typs,Baden-Württemberg,Land,www.dhbw.de,x
Hochschule für Technik Stuttgart,Fachhochschule,Baden-Württemberg,Land,www.hft-stuttgart.de,x
Hochschule der Medien Stuttgart,Fachhochschule,Baden-Württemberg,Land,www.hdm-stuttgart.de,x
Hochschule für Kommunikation und Gestaltung,Fachhochschule,Baden-Württemberg,Privat,www.hfk-bw.de,x
Staatliche Hochschule für Musik und Darstellende Kunst Stuttgart,Kunsthochschulen,Baden-Württemberg,Land,www.hmdk-stuttgart.de,x
Hochschule Macromedia - staatlich anerkannte Hochschule für angewandte Wissenschaften der Macromedia GmbH mit Sitz in Stuttgart,Fachhochschule,Baden-Württemberg,Privat,www.macromedia-fachhochschule.de,x
media Akademie - Hochschule Stuttgart,Fachhochschule,Baden-Württemberg,Privat,www.media-hs.de,x
"Merz Akademie Hochschule für Gestaltung, Kunst und Medien, Stuttgart - Staatlich anerkannt",Fachhochschule,Baden-Württemberg,Privat,www.merz-akademie.de,x
Universität Stuttgart,Universitäten,Baden-Württemberg,Land,www.uni-stuttgart.de,x
Freie Hochschule Stuttgart - Seminar für Waldorfpädagogik. Staatlich anerkannte wissenschaftliche Hochschule.,Universitäten,Baden-Württemberg,Privat,www.freie-hochschule-stuttgart.de,x
VWA-Hochschule für berufsbegleitendes Studium,Fachhochschule,Baden-Württemberg,Privat,www.vwa-hochschule.de,x
Fachhochschule Südwestfalen,Fachhochschule,Nordrhein-Westfalen,Land,www.fh-swf.de,x
Thüringer Fachhochschule für öffentliche Verwaltung,Verwaltungsfachhochschulen,Thüringen,Land,bildungszentrum.thueringen.de,x
Hochschule Trier - Trier University of Applied Sciences,Fachhochschule,Rheinland-Pfalz,Land,www.hochschule-trier.de,x
Theologische Fakultät Trier,Universitäten,Rheinland-Pfalz,Kirchlich,www.theo.uni-trier.de,x
Universität Trier,Universitäten,Rheinland-Pfalz,Land,www.uni-trier.de,x
Staatliche Hochschule für Musik Trossingen,Kunsthochschulen,Baden-Württemberg,Land,www.hfm-trossingen.de,x
Hochschule für Kirchenmusik der Evangelischen Landeskirche in Württemberg,Kunsthochschulen,Baden-Württemberg,Kirchlich,www.kirchenmusikhochschule.de,-
Eberhard Karls Universität Tübingen,Universitäten,Baden-Württemberg,Land,www.uni-tuebingen.de,x
Technische Hochschule Ulm,Fachhochschule,Baden-Württemberg,Land,www.thu.de,x
Universität Ulm,Universitäten,Baden-Württemberg,Land,www.uni-ulm.de,x
Vinzenz Pallotti University,Universitäten,Rheinland-Pfalz,Kirchlich,vp-uni.de,-
WHU - Otto Beisheim School of Management,Universitäten,Rheinland-Pfalz,Privat,www.whu.edu,x
Private Hochschule für Wirtschaft und Technik Vechta/Diepholz,Fachhochschule,Niedersachsen,Privat,www.phwt.de,x
Universität Vechta,Universitäten,Niedersachsen,Land,www.uni-vechta.de,x
Fachhochschule Wedel,Fachhochschule,Schleswig-Holstein,Privat,www.fh-wedel.de,x
Hochschule  für  angewandte  Wissenschaften  Weihenstephan-Triesdorf,Fachhochschule,Bayern,Land,www.hswt.de,x
Hochschule für Musik Franz Liszt Weimar,Kunsthochschulen,Thüringen,Land,www.hfm-weimar.de,x
Bauhaus-Universität Weimar,Universitäten,Thüringen,Land,www.uni-weimar.de,x
Pädagogische Hochschule Weingarten,Universitäten,Baden-Württemberg,Land,www.ph-weingarten.de,x
Hochschule Weserbergland,Fachhochschule,Niedersachsen,Privat,www.hsw-hameln.de,x
"Westfälische Hochschule Gelsenkirchen, Bocholt, Recklinghausen",Fachhochschule,Nordrhein-Westfalen,Land,www.w-hs.de,x
"Fachhochschule Westküste, Hochschule für Wirtschaft und Technik",Fachhochschule,Schleswig-Holstein,Land,www.fh-westkueste.de,x
EBS Universität für Wirtschaft und Recht,Universitäten,Hessen,Privat,www.ebs.edu,x
Technische Hochschule Wildau,Fachhochschule,Brandenburg,Land,www.th-wildau.de,x
Jade Hochschule -  Wilhelmshaven/Oldenburg/Elsfleth,Fachhochschule,Niedersachsen,Land,www.jade-hs.de,x
"Hochschule Wismar - University of Applied Sciences: Technology, Business and Design",Fachhochschule,Mecklenburg-Vorpommern,Land,www.hs-wismar.de,x
Private Universität Witten/Herdecke gGmbH,Universitäten,Nordrhein-Westfalen,Privat,www.uni-wh.de,x
"Hochschule Worms, University of Applied Sciences",Fachhochschule,Rheinland-Pfalz,Land,www.hs-worms.de,x
Kirchliche Hochschule Wuppertal,Universitäten,Nordrhein-Westfalen,Kirchlich,www.kiho-wuppertal.de,x
Bergische Universität Wuppertal,Universitäten,Nordrhein-Westfalen,Land,www.uni-wuppertal.de,x
Hochschule für Musik Würzburg,Kunsthochschulen,Bayern,Land,www.hfm-wuerzburg.de,x
Technische Hochschule Würzburg-Schweinfurt,Fachhochschule,Bayern,Land,www.thws.de,x
Julius-Maximilians-Universität Würzburg,Universitäten,Bayern,Land,www.uni-wuerzburg.de,x
Hochschule Zittau/Görlitz,Fachhochschule,Sachsen,Land,www.hszg.de,x
Westsächsische Hochschule Zwickau,Fachhochschule,Sachsen,Land,www.fh-zwickau.de,x
